id,player,club,position,age,value,nationality,avatar_url
184,M. Albæk,SønderjyskE,Defensive-Midfielder,30,400000,Denmark,images/profile_img/empty.jpg
185,A. Dovbyk,Midtjylland,Striker,22,400000,Ukraine,images/profile_img/empty.jpg
186,M. Pedersen,Hobro,Left-Back,24,400000,Denmark,images/profile_img/empty.jpg
187,O. Lund,OB,,29,400000,Denmark,images/profile_img/empty.jpg
188,A. Juel Andersen,OB,,29,400000,Denmark,images/profile_img/empty.jpg
189,A. Þrándarson,OB,Left-Back,25,400000,Iceland,images/profile_img/empty.jpg
190,J. Gammelby,Brøndby,Right-Back,25,400000,Denmark,images/profile_img/empty.jpg
191,A. Skipper,Brøndby,Left Centre-Back,19,400000,Denmark,images/profile_img/empty.jpg
192,O. Klitten,AaB,Left Wing,19,400000,Denmark,images/profile_img/empty.jpg
193,R. Romo,Silkeborg,Goalkeeper,29,400000,Venezuela,images/profile_img/empty.jpg
194,K. Pallesen,AaB,Right-Back,29,400000,Denmark,images/profile_img/empty.jpg
195,S. Crone,Silkeborg,Right-Back,24,400000,Denmark,images/profile_img/empty.jpg
196,M. Brink,Silkeborg,Left-Back,21,400000,Denmark,images/profile_img/empty.jpg
197,A. Hagelskjær,Silkeborg,Left-Back,23,400000,Denmark,images/profile_img/empty.jpg
198,M. Ross,AaB,Left Centre-Back,19,400000,Denmark,images/profile_img/empty.jpg
199,P. Arajuuri,Pafos,Centre-Back,31,400000,Finland,images/profile_img/empty.jpg
200,E. Nielsen,Lyngby,Striker,26,400000,Denmark,images/profile_img/empty.jpg
201,F. Gytkjær,Lyngby,Striker,26,400000,Denmark,images/profile_img/empty.jpg
202,Paulinho,Midtjylland,,25,400000,Brazil,images/profile_img/empty.jpg
203,K. Enghardt,Lyngby,Left-Back,27,400000,Denmark,images/profile_img/empty.jpg
204,T. Kehinde,Randers,Left Wing,21,350000,Nigeria,images/profile_img/empty.jpg
205,S. Hausner,AGF,Left Centre-Back,19,350000,Denmark,images/profile_img/empty.jpg
206,V. Tranberg,Esbjerg,Centre-Back,22,350000,Denmark,images/profile_img/empty.jpg
207,M. James,Midtjylland,Centre-Back,26,350000,"Dominica, Canada",images/profile_img/empty.jpg
208,F. Tingager,AGF,Left Centre-Back,26,350000,Denmark,images/profile_img/empty.jpg
209,E. Jónsson,SønderjyskE,Left-Back,31,350000,Iceland,images/profile_img/empty.jpg
210,J. Bøge,Hobro,Right-Back,30,350000,Denmark,images/profile_img/empty.jpg
211,J. Simonsen,SønderjyskE,Left-Back,24,350000,Denmark,images/profile_img/empty.jpg
212,C. Cappis,Hobro,Left-Back,20,350000,USA,images/profile_img/empty.jpg
213,M. Frøkjær-Jensen,OB,Right Wing,20,350000,Denmark,images/profile_img/empty.jpg
214,F. Møller,Silkeborg,Left-Back,26,350000,Denmark,images/profile_img/empty.jpg
215,F. Lesniak,Silkeborg,Defensive-Midfielder,23,350000,Slovakia,images/profile_img/empty.jpg
216,P. da Silva,Lyngby,Left-Back,25,350000,"Denmark, Brazil",images/profile_img/empty.jpg
217,N. Geertsen,Lyngby,Centre-Back,28,350000,Denmark,images/profile_img/empty.jpg
218,M. Hebo Rasmussen,Lyngby,Left-Back,24,350000,Denmark,images/profile_img/empty.jpg
219,G. Isaksen,Midtjylland,Attacking-Midfielder,18,350000,Denmark,images/profile_img/empty.jpg
220,P. Vindahl Jensen,Nordsjælland,Goalkeeper,21,300000,Denmark,images/profile_img/empty.jpg
221,K. Høgh,Randers,Striker,19,300000,Denmark,images/profile_img/empty.jpg
222,D. Amankwaa,SønderjyskE,Right Wing,25,300000,"Denmark, Ghana",images/profile_img/empty.jpg
223,M. Aaquist,Viborg,Right-Back,25,300000,Denmark,images/profile_img/empty.jpg
